index,Radiance,c2_1,c3_1,black_spruce_Reflectance_1,c2_2,c3_2,black_spruce_Reflectance_2,c2_3,c3_3,black_spruce_Reflectance_3,Mean_black_spruce_Reflectance,Standard_deviation_black_spruce
0,351.0,0.36881929999999996,0.009258823000000001,2.5098,0.36881929999999996,0.01573016,4.2638,0.36881929999999996,0.01330478,3.6069,3.4601666666666664,0.8861585655701429
1,352.0,0.37077129999999997,0.009276654,2.5011,0.37077129999999997,0.01577866,4.2538,0.37077129999999997,0.01335505,3.601,3.451966666666667,0.8858033209089551
2,353.0,0.3742368,0.009333468000000001,2.4928,0.3742368,0.01588423,4.2426,0.3742368,0.01346191,3.5959,3.443766666666667,0.8847646146480621
3,354.0,0.3796578,0.009436431,2.4843,0.3796578,0.01606745,4.231,0.3796578,0.01363766,3.591,3.4354333333333336,0.8836803513337462
4,355.0,0.3874218,0.009592793,2.4755,0.3874218,0.01634556,4.2194,0.3874218,0.01389403,3.5862,3.4270333333333336,0.882778184672307
5,356.0,0.3989823,0.009841566999999999,2.4667,0.3989823,0.01678204,4.2078,0.3989823,0.01428437,3.5808,3.418433333333333,0.8818330359729858
6,357.0,0.41397619999999996,0.01017136,2.4577,0.41397619999999996,0.01736202,4.1964,0.41397619999999996,0.01479212,3.5744,3.4095,0.8810013791135629
7,358.0,0.4317937,0.01056371,2.4481,0.4317937,0.01806011,4.1854,0.4317937,0.01539035,3.5663,3.3999333333333333,0.8805175883157206
8,359.0,0.45125859999999995,0.0109988,2.4394,0.45125859999999995,0.01883188,4.1757,0.45125859999999995,0.01604956,3.5589,3.3913333333333333,0.8801950711821405
9,360.0,0.4714625,0.01145185,2.431,0.4714625,0.01963691,4.167,0.4714625,0.01673712,3.5521,3.383366666666667,0.8802142939837623
10,361.0,0.49059300000000006,0.01186694,2.4203,0.49059300000000006,0.02038994,4.1571,0.49059300000000006,0.0173844,3.5445,3.3739666666666666,0.8808687605616021
11,362.0,0.5060353,0.01219789,2.4113,0.5060353,0.02099369,4.1487,0.5060353,0.01790517,3.5385,3.366166666666667,0.8814271230982927
12,363.0,0.5171599,0.01243132,2.4041,0.5171599,0.02142266,4.1418,0.5171599,0.01827929,3.5345,3.360133333333333,0.8818747775808837
13,364.0,0.5236024,0.01254811,2.3963,0.5236024,0.02165101,4.1337,0.5236024,0.01850091,3.5329,3.3543000000000003,0.8823622612056797
14,365.0,0.5269098000000001,0.01258746,2.3881,0.5269098000000001,0.02175279,4.1267,0.5269098000000001,0.01861177,3.5315,3.3487666666666662,0.8835870604152898
15,366.0,0.5279199,0.01256997,2.3794,0.5279199,0.02176803,4.1219,0.5279199,0.01863389,3.5289,3.3434000000000004,0.8859369334213356
16,367.0,0.5281733000000001,0.01254315,2.373,0.5281733000000001,0.02173824,4.1147,0.5281733000000001,0.01862652,3.5261,3.3379333333333334,0.8859654301005956
17,368.0,0.5285717,0.01251946,2.3671,0.5285717,0.02170914,4.1066,0.5285717,0.01862391,3.5234,3.332366666666667,0.885344770884955
18,369.0,0.529891,0.01250925,2.3599,0.529891,0.02171901,4.0987,0.529891,0.01865586,3.521,3.326533333333334,0.8855615864147074
19,370.0,0.5341880999999999,0.01256241,2.3515,0.5341880999999999,0.02185663,4.0917,0.5341880999999999,0.01879581,3.5189,3.3207000000000004,0.88686889673728
20,371.0,0.5423124,0.01270075,2.3424,0.5423124,0.02215859,4.0861,0.5423124,0.01907246,3.517,3.3151666666666664,0.8891990459584026
21,372.0,0.5549339,0.01294621,2.3341,0.5549339,0.02265549,4.0825,0.5549339,0.01950738,3.5154,3.310666666666666,0.8919991274285716
22,373.0,0.5741543,0.01333518,2.3244,0.5741543,0.02342346,4.0795,0.5741543,0.02016747,3.5128,3.305566666666667,0.8957138177639853
23,374.0,0.5988720999999999,0.01384364,2.3136,0.5988720999999999,0.02441724,4.077,0.5988720999999999,0.02101489,3.5092,3.299933333333333,0.9001329309237237
24,375.0,0.6221224,0.0143258,2.304,0.6221224,0.02535919,4.0759,0.6221224,0.02181717,3.5069,3.2956,0.9046508553027516
25,376.0,0.6453045000000001,0.01480972,2.2955,0.6453045000000001,0.02629723,4.0751,0.6453045000000001,0.02260753,3.5033,3.2912999999999997,0.9085439119822442
26,377.0,0.6680102,0.01528605,2.2884,0.6680102,0.02721171,4.0739,0.6680102,0.02336829,3.4982,3.2868333333333335,0.9113229193503987
27,378.0,0.6830773,0.01559766,2.283,0.6830773,0.02781124,4.0722,0.6830773,0.0238777,3.496,3.2837333333333336,0.913291855505858
28,379.0,0.6903014000000001,0.01574837,2.2809,0.6903014000000001,0.02808288,4.069,0.6903014000000001,0.02410924,3.4932,3.2810333333333332,0.9127356809796215
29,380.0,0.6895555999999999,0.01574148,2.2828,0.6895555999999999,0.02801869,4.0638,0.6895555999999999,0.02404505,3.4872,3.2779333333333334,0.9087544516167901
30,381.0,0.6817929,0.01558164,2.2858,0.6817929,0.02763922,4.0534,0.6817929,0.02373473,3.4809,3.2733666666666665,0.9018896846806339
31,382.0,0.6677258,0.01527472,2.2881,0.6677258,0.02698577,4.0398,0.6677258,0.0232068,3.4749,3.2676,0.8940599476545181
32,383.0,0.6483459,0.0148293,2.2874,0.6483459,0.02611644,4.0258,0.6483459,0.02249988,3.4699,3.2610333333333337,0.8878218308497114
33,384.0,0.6282588000000001,0.01436158,2.2855,0.6282588000000001,0.02520608,4.0097,0.6282588000000001,0.02178335,3.467,3.2540666666666667,0.8816018734856075
34,385.0,0.6114449000000001,0.01395918,2.282,0.6114449000000001,0.02441993,3.9924,0.6114449000000001,0.0211908,3.4656,3.2466666666666666,0.8759656918700259
35,386.0,0.6046600000000001,0.01377118,2.2764,0.6046600000000001,0.02404355,3.9763,0.6046600000000001,0.02094304,3.4637,3.2388,0.8719805101032935
36,387.0,0.6096715,0.01382732,2.2675,0.6096715,0.02413695,3.9604,0.6096715,0.02111193,3.4628,3.230233333333333,0.8700822049285535
37,388.0,0.6269214,0.01413796,2.2557,0.6269214,0.02472342,3.9457,0.6269214,0.02170976,3.4625,3.2213,0.8704355691261703
38,389.0,0.6531779999999999,0.01464353,2.2431,0.6531779999999999,0.0256989,3.9362,0.6531779999999999,0.02260492,3.4602,3.2131666666666665,0.8731643621525864
39,390.0,0.6889701,0.01535674,2.2304,0.6889701,0.0270851,3.9318,0.6889701,0.02382586,3.4577,3.206633333333334,0.8780468913066849
40,391.0,0.7340545999999999,0.01627385,2.2182,0.7340545999999999,0.02887308,3.9327,0.7340545999999999,0.02536485,3.4555,3.2021333333333337,0.8848861866552858
41,392.0,0.7826185,0.01727317,2.2083,0.7826185,0.03080816,3.9351,0.7826185,0.02700667,3.4515,3.1982999999999997,0.8908098787058886
42,393.0,0.8316584,0.01828167,2.1992,0.8316584,0.03277232,3.9389,0.8316584,0.02865376,3.4465,3.1948666666666665,0.8967321357759704
43,394.0,0.8785909,0.01923869,2.1906,0.8785909,0.0346626,3.9438,0.8785909,0.03021911,3.4407,3.1916999999999995,0.9027337979714729
44,395.0,0.9095042,0.0198451,2.1823,0.9095042,0.03592863,3.9495,0.9095042,0.03123478,3.435,3.1889333333333334,0.9089337507944862
45,396.0,0.9263193000000001,0.02014367,2.1743,0.9263193000000001,0.03664131,3.9555,0.9263193000000001,0.03176727,3.4296,3.1864666666666666,0.9151522951582065
46,397.0,0.9285882,0.0201252,2.1665,0.9285882,0.03677858,3.9612,0.9285882,0.03180206,3.4246,3.1840999999999995,0.9212042173155742
47,398.0,0.9186552,0.01984862,2.1595,0.9186552,0.03642811,3.9662,0.9186552,0.03142426,3.4203,3.182,0.9266236506802533
48,399.0,0.8999483,0.01938832,2.1534,0.8999483,0.03572242,3.9702,0.8999483,0.03075914,3.4177,3.1804333333333332,0.9313496461229442
49,400.0,0.8758089,0.01881464,2.1479,0.8758089,0.03478952,3.9728,0.8758089,0.0299312,3.4177,3.1794666666666664,0.9354845500238544
50,401.0,0.8554710999999999,0.01834818,2.1448,0.8554710999999999,0.03400563,3.9754,0.8554710999999999,0.02924422,3.4188,3.1796666666666673,0.938436280912739
51,402.0,0.849101,0.01820254,2.1438,0.849101,0.03377092,3.9776,0.849101,0.02904324,3.4207,3.1807,0.940162544457074
52,403.0,0.8739004000000001,0.01873186,2.1435,0.8739004000000001,0.03475361,3.9778,0.8739004000000001,0.02990961,3.4227,3.1813333333333333,0.9406686575693554
53,404.0,0.9343674999999999,0.02003017,2.1437,0.9343674999999999,0.03718003,3.9794,0.9343674999999999,0.03200955,3.4255,3.182866666666667,0.9415953607220744
54,405.0,1.024852,0.02197609,2.1443,1.024852,0.04083091,3.983,1.024852,0.03515314,3.4293,3.1855333333333333,0.9432767692111015
55,406.0,1.1170069999999999,0.02396642,2.1456,1.1170069999999999,0.04456139,3.9877,1.1170069999999999,0.03837483,3.4346,3.1893,0.9452312785768359
56,407.0,1.1856790000000001,0.02544552,2.1462,1.1856790000000001,0.04737246,3.994,1.1856790000000001,0.04079986,3.4405,3.193566666666667,0.9483265594368502
57,408.0,1.223974,0.02626417,2.1458,1.223974,0.04898646,4.0018,1.223974,0.04218817,3.4468,3.1981333333333333,0.9526596104240663
58,409.0,1.228889,0.02636929,2.1458,1.228889,0.04927071,4.01,1.228889,0.04243398,3.4538,3.2032000000000003,0.9570322251627684
59,410.0,1.2107219999999999,0.02598641,2.1464,1.2107219999999999,0.04863337,4.0182,1.2107219999999999,0.04189581,3.4617,3.208766666666667,0.9611921053219974
60,411.0,1.177484,0.02529017,2.148,1.177484,0.04739396,4.0261,1.177484,0.04085098,3.4705,3.214866666666666,0.9647933474756825
61,412.0,1.15335,0.02480118,2.1504,1.15335,0.04654293,4.0359,1.15335,0.04013828,3.4805,3.222266666666666,0.968912226846856
62,413.0,1.1497680000000001,0.02476946,2.1541,1.1497680000000001,0.04655475,4.0484,1.1497680000000001,0.04015066,3.4914,3.2313000000000005,0.973566705470149
63,414.0,1.1769450000000001,0.02541714,2.1591,1.1769450000000001,0.04785042,4.0643,1.1769450000000001,0.04123834,3.5028,3.2420666666666667,0.9789959976084343
64,415.0,1.2106540000000001,0.02621614,2.1649,1.2106540000000001,0.04939154,4.0783,1.2106540000000001,0.04256085,3.5144,3.2525333333333335,0.9832118303465094
65,416.0,1.240423,0.02693756,2.1713,1.240423,0.05078259,4.0931,1.240423,0.04375879,3.527,3.2638,0.9875649295109663
66,417.0,1.254402,0.02732387,2.1781,1.254402,0.05157395,4.1113,1.254402,0.04442781,3.5415,3.2769666666666666,0.9933775582996291
67,418.0,1.246129,0.02722501,2.1848,1.246129,0.05143786,4.1282,1.246129,0.04431815,3.5567,3.2899,0.9987930566438674
68,419.0,1.218913,0.02671639,2.192,1.218913,0.05051321,4.1447,1.218913,0.04354204,3.5728,3.3031666666666673,1.0038854134478363
69,420.0,1.176377,0.02588223,2.2006,1.176377,0.04895521,4.1623,1.176377,0.04222297,3.59,3.317633333333333,1.0088133738870304
70,421.0,1.130506,0.02496703,2.209,1.130506,0.04723277,4.1788,1.130506,0.04076737,3.607,3.3316000000000003,1.0133666069098586
71,422.0,1.0839809999999999,0.02403433,2.2178,1.0839809999999999,0.04546754,4.1952,1.0839809999999999,0.03927619,3.6241,3.3457000000000003,1.0176726438300285
72,423.0,1.03935,0.02314869,2.2277,1.03935,0.04377998,4.213,1.03935,0.03784601,3.6421,3.360933333333333,1.0220787852867965
73,424.0,1.006157,0.02251029,2.2376,1.006157,0.04256925,4.2317,1.006157,0.03683193,3.6615,3.3769333333333336,1.0270551802767627
74,425.0,0.9872542999999999,0.02218291,2.2473,0.9872542999999999,0.04196281,4.2514,0.9872542999999999,0.03634005,3.6817,3.393466666666667,1.0326727668208036
