index,Radiance,c2_1,c3_1,gravel_Reflectance_1,c2_2,c3_2,gravel_Reflectance_2,c2_3,c3_3,gravel_Reflectance_3,Mean_trail_Reflectance,Standard_deviation_gravel
0,351,0.4127751,0.02862614,6.9368,0.4127751,0.02628864,6.3704,0.4127751,0.02692857,6.5253,6.610833333,0.292727182
1,352,0.4174928,0.02902931,6.9557,0.4174928,0.02664758,6.3853,0.4174928,0.02730057,6.5414,6.627466667,0.294778974
2,353,0.4241317,0.0295731,6.9754,0.4241317,0.02714114,6.402,0.4241317,0.02780318,6.5579,6.6451,0.296478954
3,354,0.4331208,0.03029024,6.9957,0.4331208,0.02779631,6.4199,0.4331208,0.0284677,6.575,6.663533333,0.297934596
4,355,0.4448521,0.0312097,7.0164,0.4448521,0.02863857,6.4385,0.4448521,0.02932165,6.5923,6.6824,0.2993002
5,356,0.4612041,0.03246116,7.0374,0.4612041,0.02979051,6.4582,0.4612041,0.03048839,6.6102,6.701933333,0.300298873
6,357,0.4816698,0.03400632,7.0579,0.4816698,0.03121741,6.4784,0.4816698,0.03193593,6.6284,6.721566667,0.30077414
7,358,0.5053988,0.03578027,7.0766,0.5053988,0.03286079,6.4983,0.5053988,0.03360972,6.647,6.740633333,0.30030505
8,359,0.5312895,0.03771927,7.0961,0.5312895,0.03465171,6.518,0.5312895,0.03542899,6.6647,6.7596,0.300506922
9,360,0.5583622,0.03975675,7.1169,0.5583622,0.03652817,6.5381,0.5583622,0.03733375,6.6825,6.779166667,0.301265155
10,361,0.5847426,0.04176839,7.1403,0.5847426,0.03837382,6.5598,0.5847426,0.03921912,6.7042,6.801433333,0.302218139
11,362,0.6070582,0.04349933,7.1641,0.6070582,0.0399641,6.5819,0.6070582,0.04083785,6.7256,6.823866667,0.303284459
12,363,0.6245069,0.04488861,7.1878,0.6245069,0.04124402,6.6041,0.6245069,0.04213224,6.7462,6.846033333,0.304386996
13,364,0.6367169,0.04590878,7.2121,0.6367169,0.04218158,6.6266,0.6367169,0.04308264,6.7681,6.868933333,0.305496454
14,365,0.6457355,0.04671399,7.2379,0.6457355,0.04291898,6.65,0.6457355,0.04382891,6.791,6.892966667,0.306927521
15,366,0.6527214,0.04739236,7.2655,0.6527214,0.04353676,6.6748,0.6527214,0.04445124,6.8147,6.918333333,0.308685152
16,367,0.6592752,0.04804244,7.2922,0.6592752,0.04412209,6.6974,0.6592752,0.04505246,6.8383,6.942633333,0.310822849
17,368,0.6667676,0.0487692,7.3187,0.6667676,0.04477796,6.7199,0.6667676,0.04572522,6.8617,6.966766667,0.312921098
18,369,0.6762794,0.049655,7.3457,0.6762794,0.04558622,6.7442,0.6762794,0.04654042,6.8851,6.991666667,0.314591645
19,370,0.6918651,0.05100237,7.3739,0.6918651,0.04682319,6.77,0.6918651,0.047796,6.9103,7.018066667,0.316044369
20,371,0.7145874,0.05288781,7.4021,0.7145874,0.04856066,6.7964,0.7145874,0.04956313,6.9365,7.045,0.317091958
21,372,0.7446701,0.05531578,7.4273,0.7446701,0.05080644,6.8214,0.7446701,0.05184187,6.9605,7.069733333,0.317376186
22,373,0.7855624,0.0585834,7.4536,0.7855624,0.05382538,6.8477,0.7855624,0.05491326,6.9864,7.0959,0.317445098
23,374,0.8353314,0.06254688,7.4815,0.8353314,0.05748209,6.8752,0.8353314,0.05864005,7.0142,7.123633333,0.317618739
24,375,0.8819927,0.06627085,7.5089,0.8819927,0.06090773,6.9005,0.8819927,0.06213301,7.0401,7.149833333,0.318698436
25,376,0.9291127,0.07007131,7.5377,0.9291127,0.06440901,6.9279,0.9291127,0.06569575,7.067,7.177533333,0.319573502
26,377,0.9764067,0.07394077,7.5685,0.9764067,0.06798338,6.9586,0.9764067,0.06932339,7.0959,7.207666667,0.319942719
27,378,1.011864,0.07695661,7.6023,1.011864,0.07076748,6.991,1.011864,0.07215562,7.128,7.240433333,0.320784762
28,379,1.033406,0.07892883,7.6366,1.033406,0.0725895,7.0235,1.033406,0.07400945,7.1607,7.2736,0.321764992
29,380,1.0395,0.07971373,7.6697,1.0395,0.07331881,7.0546,1.0395,0.07474661,7.1918,7.305366667,0.322893238
30,381,1.03223,0.07948168,7.7036,1.03223,0.07310929,7.0862,1.03223,0.0745304,7.2238,7.337866667,0.324120492
31,382,1.012732,0.07830048,7.7367,1.012732,0.07202623,7.117,1.012732,0.0734217,7.2547,7.369466667,0.32540062
32,383,0.9827844,0.07628215,7.767,0.9827844,0.07017595,7.1456,0.9827844,0.07152155,7.2823,7.3983,0.326537119
33,384,0.9499729,0.0740192,7.7958,0.9499729,0.06810837,7.1736,0.9499729,0.06939612,7.3088,7.426066667,0.327256495
34,385,0.9203091,0.07196973,7.8222,0.9203091,0.06624346,7.2001,0.9203091,0.06747242,7.3334,7.4519,0.327542043
35,386,0.9042121,0.07092115,7.8442,0.9042121,0.06530158,7.2227,0.9042121,0.06647999,7.3531,7.473333333,0.327730992
36,387,0.903716,0.07108349,7.8653,0.903716,0.06547246,7.2443,0.903716,0.06662925,7.3726,7.494066667,0.327835116
37,388,0.9196115,0.07252845,7.886,0.9196115,0.06682134,7.2653,0.9196115,0.06798939,7.3925,7.5146,0.327869532
38,389,0.9487482,0.07501146,7.905,0.9487482,0.06912289,7.2842,0.9487482,0.07032852,7.4113,7.5335,0.327944797
39,390,0.9897019,0.07843351,7.9234,0.9897019,0.07229143,7.3027,0.9897019,0.07355188,7.4299,7.552,0.327869532
40,391,1.041354,0.08271157,7.9414,1.041354,0.07625232,7.3211,1.041354,0.07758009,7.4483,7.570266667,0.327642982
41,392,1.095393,0.08717088,7.9568,1.095393,0.08038302,7.3371,1.095393,0.08177261,7.4638,7.5859,0.327396289
42,393,1.150148,0.09174252,7.975,1.150148,0.08461214,7.3552,1.150148,0.0860672,7.4816,7.603933333,0.327508921
43,394,1.203643,0.09631236,7.9995,1.203643,0.0888295,7.3779,1.203643,0.09035767,7.5049,7.627433333,0.328416585
44,395,1.240491,0.09962982,8.0296,1.240491,0.09190154,7.4066,1.240491,0.093483,7.5343,7.656833333,0.329079114
45,396,1.26268,0.1018567,8.0664,1.26268,0.09397584,7.4423,1.26268,0.0955873,7.5701,7.692933333,0.32968352
46,397,1.269617,0.1029588,8.1121,1.269617,0.09502107,7.4868,1.269617,0.09663134,7.6137,7.737533333,0.330531456
47,398,1.264523,0.1031298,8.1614,1.264523,0.09521802,7.5356,1.264523,0.09680329,7.6609,7.785966667,0.331115785
48,399,1.252329,0.1027754,8.2138,1.252329,0.09493626,7.5877,1.252329,0.09648774,7.7114,7.837633333,0.331589269
49,400,1.238183,0.1023312,8.2692,1.238183,0.09457275,7.6425,1.238183,0.09610094,7.7658,7.8925,0.332005858
50,401,1.230159,0.102327,8.3206,1.230159,0.09460565,7.693,1.230159,0.09610675,7.8149,7.942833333,0.33278468
51,402,1.239212,0.1036527,8.3651,1.239212,0.09586312,7.7367,1.239212,0.09734823,7.8566,7.986133333,0.333625244
52,403,1.283325,0.1077626,8.3971,1.283325,0.09970564,7.7694,1.283325,0.1012133,7.8869,8.0178,0.333695865
53,404,1.371629,0.1156262,8.4273,1.371629,0.1070093,7.7992,1.371629,0.1086033,7.9154,8.0473,0.334179009
54,405,1.496029,0.1265998,8.4579,1.496029,0.1171797,7.8283,1.496029,0.1189145,7.9441,8.076766667,0.335110987
55,406,1.615856,0.13727,8.4903,1.615856,0.1270788,7.8596,1.615856,0.1289482,7.9752,8.108366667,0.33577618
56,407,1.697146,0.1446767,8.522,1.697146,0.1339583,7.8903,1.697146,0.135921,8.006,8.139433333,0.336325086
57,408,1.731132,0.1480603,8.5531,1.731132,0.1371151,7.9207,1.731132,0.1391176,8.0365,8.1701,0.336703371
58,409,1.714451,0.1471579,8.5871,1.714451,0.1363176,7.9548,1.714451,0.1382889,8.0698,8.2039,0.336805478
59,410,1.665714,0.1435015,8.6204,1.665714,0.1329632,7.9877,1.665714,0.1348624,8.1016,8.236566667,0.337252611
60,411,1.598098,0.1381956,8.6515,1.598098,0.1280676,8.0178,1.598098,0.1298724,8.1306,8.266633333,0.338042487
61,412,1.543271,0.1340071,8.6843,1.543271,0.1242255,8.0506,1.543271,0.1259501,8.1623,8.299066667,0.338264339
62,413,1.517829,0.1323556,8.7177,1.517829,0.1227429,8.0844,1.517829,0.1244231,8.1951,8.3324,0.338239102
63,414,1.536414,0.1344965,8.7508,1.536414,0.1247768,8.1182,1.536414,0.1264674,8.2283,8.365766667,0.337962281
64,415,1.5663,0.137601,8.7823,1.5663,0.1277047,8.1505,1.5663,0.1294186,8.2599,8.397566667,0.337649068
65,416,1.59314,0.1404385,8.8139,1.59314,0.1303813,8.1826,1.59314,0.1321209,8.2918,8.429433333,0.337404984
66,417,1.600811,0.141629,8.8472,1.600811,0.1315214,8.2157,1.600811,0.1332784,8.3255,8.4628,0.337396695
67,418,1.582693,0.1405362,8.8804,1.582693,0.1305446,8.249,1.582693,0.1322793,8.3587,8.496033333,0.33736008
68,419,1.543144,0.1375297,8.9135,1.543144,0.1277889,8.2823,1.543144,0.1294676,8.391,8.528933333,0.33745009
69,420,1.486982,0.1330171,8.9468,1.486982,0.1236258,8.3152,1.486982,0.1252218,8.4224,8.561466667,0.337985641
70,421,1.428627,0.128253,8.9788,1.428627,0.1192235,8.3467,1.428627,0.1207342,8.4523,8.5926,0.338601048
71,422,1.371099,0.1235248,9.0105,1.371099,0.1148524,8.378,1.371099,0.1162811,8.4821,8.623533333,0.339140979
72,423,1.317322,0.1191169,9.0437,1.317322,0.110783,8.4111,1.317322,0.1121401,8.514,8.656266667,0.339448882
73,424,1.27871,0.1160594,9.0774,1.27871,0.1079694,8.4447,1.27871,0.1092694,8.5464,8.6895,0.339758046
74,425,1.258642,0.1146613,9.1107,1.258642,0.1066968,8.4778,1.258642,0.1079607,8.5783,8.722266667,0.34012557
75,426,1.258781,0.1150715,9.1419,1.258781,0.1070974,8.5084,1.258781,0.1083586,8.6086,8.752966667,0.340531736
76,427,1.286483,0.1180122,9.1731,1.286483,0.1098555,8.5391,1.286483,0.1111355,8.6386,8.7836,0.340965907
77,428,1.344792,0.1237839,9.2047,1.344792,0.1152522,8.5703,1.344792,0.1165745,8.6686,8.814533333,0.341450206
78,429,1.435774,0.1326193,9.2363,1.435774,0.1235008,8.6013,1.435774,0.1248986,8.6986,8.8454,0.342007208
79,430,1.550942,0.1437341,9.2667,1.550942,0.1338819,8.6315,1.550942,0.1353864,8.7284,8.875533333,0.342207427
80,431,1.677714,0.1559637,9.2955,1.677714,0.1453111,8.6605,1.677714,0.146936,8.7575,8.9045,0.34207163
81,432,1.780157,0.1659757,9.3234,1.780157,0.154673,8.6884,1.780157,0.1563692,8.7838,8.931866667,0.342416491
82,433,1.8584,0.1737639,9.3505,1.8584,0.1619772,8.7163,1.8584,0.1637132,8.8097,8.958833333,0.34239301
83,434,1.91025,0.1791209,9.3772,1.91025,0.1670318,8.7443,1.91025,0.16878,8.8358,8.985766667,0.342064472
84,435,1.947227,0.1831344,9.4049,1.947227,0.1708076,8.7719,1.947227,0.1725637,8.862,9.012933333,0.342429414
85,436,1.973227,0.1861238,9.4322,1.973227,0.1736265,8.7988,1.973227,0.1753876,8.8881,9.0397,0.34283496
86,437,1.98832,0.1880729,9.4586,1.98832,0.1754796,8.8253,1.98832,0.177242,8.9139,9.065933333,0.34293268
87,438,1.971753,0.1870439,9.4863,1.971753,0.1745308,8.8517,1.971753,0.1762712,8.94,9.092666667,0.343743543
88,439,1.929289,0.1835197,9.5127,1.929289,0.1712521,8.8768,1.929289,0.1729429,8.9645,9.118,0.344621372
89,440,1.86477,0.177841,9.5372,1.86477,0.1659695,8.9005,1.86477,0.1675838,8.987,9.141566667,0.345347453
90,441,1.792656,0.1714255,9.5628,1.792656,0.1599972,8.9253,1.792656,0.1615435,9.0116,9.166566667,0.345850493
91,442,1.719821,0.1649073,9.5886,1.719821,0.1539373,8.9508,1.719821,0.1554204,9.0371,9.192166667,0.346022345
92,443,1.653101,0.1589248,9.6138,1.653101,0.1483927,8.9767,1.653101,0.1498167,9.0629,9.2178,0.345643762
93,444,1.590415,0.1532994,9.6391,1.590415,0.1431809,9.0028,1.590415,0.1445554,9.0893,9.243733333,0.345118332
94,445,1.534171,0.1482651,9.6643,1.534171,0.1385156,9.0288,1.534171,0.1398411,9.1151,9.2694,0.344704845
95,446,1.486364,0.1440171,9.6893,1.486364,0.1345748,9.0541,1.486364,0.1358448,9.1395,9.2943,0.344734739
96,447,1.451249,0.1409911,9.7152,1.451249,0.1317763,9.0803,1.451249,0.1329935,9.1641,9.319866667,0.344923098
97,448,1.430577,0.1393519,9.741,1.430577,0.1302705,9.1061,1.430577,0.1314476,9.1884,9.345166667,0.345262716
98,449,1.425294,0.1391881,9.7656,1.425294,0.1301377,9.1306,1.425294,0.1312946,9.2118,9.369333333,0.345570273
99,450,1.435461,0.1405545,9.7916,1.435461,0.1314428,9.1568,1.435461,0.132603,9.2376,9.395333333,0.345546832
100,451,1.462032,0.1435492,9.8184,1.462032,0.1342682,9.1836,1.462032,0.1354475,9.2643,9.4221,0.34556966
101,452,1.505644,0.1482411,9.8457,1.505644,0.1386642,9.2097,1.505644,0.1398675,9.2896,9.448333333,0.346440765
