Name,Sample_Name,Group_code,Date,Time,Latitude,Longitude,Altitude
1596061_00022.sed:C4,_grass3,Gr,7/12/2021,_14_00_35_14_01_22,64.86904,-147.8618,170.8
1596061_00023.sed:C4,_grass3,Gr,7/12/2021,_14_00_35_14_01_50,64.86905,-147.86179,170.8
1596061_00024.sed:C4,_grass3,Gr,7/12/2021,_14_00_35_14_02_21,64.86903,-147.86177,171
1596061_00025.sed:C4,_grass3,Gr,7/12/2021,_14_00_35_14_03_40,64.86903,-147.86179,170.6
1596061_00026.sed:C4,_grass3,Gr,7/12/2021,_14_00_35_14_04_08,64.86903,-147.86179,170.6
1596061_00027.sed:C4,_grass4,Gr,7/12/2021,_14_00_35_14_05_04,64.86903,-147.86181,169.5
1596061_00028.sed:C4,_grass4,Gr,7/12/2021,_14_00_35_14_05_32,64.86903,-147.86182,169.7
1596061_00029.sed:C4,_grass4,Gr,7/12/2021,_14_00_35_14_06_04,64.86905,-147.86185,169.4
1596061_00030.sed:C4,_grass4,Gr,7/12/2021,_14_00_35_14_06_33,64.86904,-147.86185,168.5
1596061_00031.sed:C4,_grass4,Gr,7/12/2021,_14_00_35_14_07_03,64.86904,-147.86184,168.6
1596061_00032.sed:C4,_vetch,BV,7/12/2021,_14_09_12_14_09_41,64.86917,-147.86173,171.9
1596061_00033.sed:C4,_vetch,BV,7/12/2021,_14_09_12_14_10_13,64.86916,-147.86177,171.1
1596061_00034.sed:C4,_vetch,BV,7/12/2021,_14_09_12_14_11_02,64.86916,-147.86177,170.9
1596061_00035.sed:C4,_vetch,BV,7/12/2021,_14_09_12_14_11_29,64.86916,-147.86176,170.3
1596061_00036.sed:C4,_vetch,BV,7/12/2021,_14_09_12_14_12_07,64.86915,-147.86174,170.2
1596061_000361.sed:C4,_aspen_infected,Ai,8/5/2021,_11_51_28_11_51_54,64.85722,-147.85814,176.3
1596061_00037.sed:C4,_w_spruce_,WS,7/12/2021,_14_20_50_14_21_24,64.86943,-147.86203,171.7
1596061_000371.sed:C4,_aspen_infected,Ai,8/5/2021,_11_51_28_11_52_11,64.85722,-147.85814,176.2
1596061_00038.sed:C4,_aspen_infected,Ai,8/5/2021,_11_51_28_11_52_53,64.85723,-147.85814,175.8
1596061_000381.sed:C4,_w_spruce_,WS,7/12/2021,_14_20_50_14_22_00,64.86943,-147.86203,171.7
1596061_00039.sed:C4,_aspen_infected,Ai,8/5/2021,_11_51_28_11_53_17,64.85723,-147.85814,175.7
1596061_000391.sed:C4,_w_spruce_,WS,7/12/2021,_14_20_50_14_22_36,64.86943,-147.86202,171.9
1596061_00040.sed:C4,_w_spruce_,WS,7/12/2021,_14_20_50_14_23_19,64.86943,-147.86203,171.2
1596061_000401.sed:C4,_aspen_infected,Ai,8/5/2021,_11_51_28_11_53_30,64.85723,-147.85814,175.7
1596061_00041.sed:C4,_w_spruce_,WS,7/12/2021,_14_20_50_14_24_10,64.86944,-147.86204,170.8
1596061_000411.sed:C4,_aspen_infected,Ai,8/5/2021,_11_51_28_11_53_42,64.85723,-147.85814,175.7
1596061_00042.sed:C4,_w_spruce_,WS,7/12/2021,_14_20_50_14_24_48,64.86944,-147.86203,170.7
1596061_000421.sed:C4,_aspen_infected,Ai,8/5/2021,_11_51_28_11_54_11,64.85723,-147.85813,175.6
1596061_00043.sed:C4,_w_spruce2,WS,7/12/2021,_14_28_28_14_29_17,64.86952,-147.862,168.6
